=== НЕПРЕРЫВНОЕ ПОТОКОВОЕ ОБУЧЕНИЕ ИЗ ИНТЕРНЕТА (20 МИНУТ) ===

[00:50:14 | Chunk #28    | Streamed: 28.0 KB | loss      : 0.123822 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0012  observed 0.0012  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:14 | Chunk #29    | Streamed: 29.0 KB | loss      : 0.121906 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0012  observed 0.0012  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:14 | Chunk #30    | Streamed: 30.0 KB | loss      : 0.130285 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0012  observed 0.0012  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:14 | Chunk #31    | Streamed: 31.0 KB | loss      : 0.066240 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0010  observed 0.0010  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:14 | Chunk #32    | Streamed: 32.0 KB | loss      : 0.060805 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0010  observed 0.0011  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:14 | Chunk #33    | Streamed: 33.0 KB | loss      : 0.110761 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0018  observed 0.0019  gap 0.0001  (256 выстрелов) | Осталось: 19.9 мин
[00:50:14 | Chunk #34    | Streamed: 34.0 KB | loss      : 0.043281 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0006  observed 0.0006  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:14 | Chunk #35    | Streamed: 35.0 KB | loss      : 0.049550 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0006  observed 0.0005  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:14 | Chunk #36    | Streamed: 36.0 KB | loss      : 0.085391 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0010  observed 0.0010  gap 0.0001  (256 выстрелов) | Осталось: 19.9 мин
[00:50:14 | Chunk #37    | Streamed: 37.0 KB | loss      : 0.225750 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0016  observed 0.0017  gap 0.0002  (256 выстрелов) | Осталось: 19.9 мин
[00:50:14 | Chunk #38    | Streamed: 38.0 KB | loss      : 0.081406 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0009  observed 0.0009  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:15 | Chunk #39    | Streamed: 39.0 KB | loss      : 0.343003 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0034  observed 0.0034  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:15 | Chunk #40    | Streamed: 40.0 KB | loss      : 0.096375 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0013  observed 0.0013  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:15 | Chunk #41    | Streamed: 41.0 KB | loss      : 0.196376 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0015  observed 0.0014  gap 0.0001  (256 выстрелов) | Осталось: 19.9 мин
[00:50:15 | Chunk #42    | Streamed: 42.0 KB | loss      : 0.024447 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0006  observed 0.0006  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:15 | Chunk #43    | Streamed: 43.0 KB | loss      : 0.069942 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0007  observed 0.0007  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:15 | Chunk #44    | Streamed: 44.0 KB | loss      : 0.113470 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0014  observed 0.0015  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:15 | Chunk #45    | Streamed: 45.0 KB | loss      : 0.129973 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0015  observed 0.0015  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:15 | Chunk #46    | Streamed: 45.5 KB | loss      : 0.003477 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0005  observed 0.0004  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:16 | Chunk #47    | Streamed: 46.5 KB | loss      : 0.027199 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0006  observed 0.0006  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:16 | Chunk #48    | Streamed: 47.5 KB | loss      : 0.018278 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0003  observed 0.0003  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:16 | Chunk #49    | Streamed: 48.5 KB | loss      : 0.060287 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0008  observed 0.0009  gap 0.0001  (256 выстрелов) | Осталось: 19.9 мин
